text,label
seeing ppl walking w/ crutches makes me really excited for the next 3 weeks of my life,1
Hey what do you know, one of the witnesses supporting Darren Wilson's story lied! And is racist! Mind blown!,1
I forked node!  Get ready for the future.  (Where's my interviews),0
When we stop accepting crumbs in the name of love, only then we can equally appreciate the silence of solitude & festivity of loving.,0
You know it's going to be a great day when you're Garmin resets itself and you spill some cinnamon down yourself  #slowclap,1
Shameless' accounting firms make vast sums advising rich on how to rip off taxpayers - accounting chief|http://t.co/9BSDuJAKXb <,0
Halfway thorough my workday ... Woooo,1
Would like to thank my nephew for giving me his horrible cold & sore throat etc.. Much appreciated!,1
.@user Alert the media! Some guy on twitter has un-cited proof that evolution is wrong! Let's get his Nobel prize ready!,1
Main issue with the walking dead- you forget to breathe when you're watching. So bloody good #WalkingDead,0
Need to get back in to college..  #feeling #this,0
@user lol how and what is a cthulhu ?? Funny autocorrect so helpful,1
I refuse to be weak... #workout #motivation #fitfam,0
I liked a @user video NEW Chocolate Bar Palette Review | Semi Sweet vs. Original,0
Oh god I just so happens that i love really LOVE slow internet #slowinternet,1
Simply having a wonderful christmas time :D,0
isnt it the best when youre really tired then when you finally get in bed youre wide awake? I LOVE IT,1
Breaking up with your girl so you don't have to buy her any presents ||#lowbudget #smartmove  #a #good #idea #butscheming doe,0
Glad there's not a typhoon where we go on holiday in 4 weeks.  #fml,1
#LOL with all due #Respect to #KobeBryant .. he is  #MJ ^_^ but damn near #Close !! #Legends,0
Rogers, that smile just so accurately captures my reaction when I receive an extra high phone bill!,1
@user @user you don't know a damned thing about baseball, do you?,0
All I can say is I'm lucky.,0
Xmas on the blog feat @user and @user * Read our story and share the LOVE â¤ï¸ Click the link...,0
I got ready and then got to school and parked in less than 12 minutes! #miracle,0
@user yeah. So as you can see, I have great success with the ladies! And I'm totally excited for having sex some more!,1
@user I'll be a bit sweaty by the time I get to you!,0
somebody wake me up early tomorrow ive been facing weird aches in my back since early december .,. and why do u think that relates madaka,0
Fully charged my #Anker portable charger...it lasted 1/2 an hour.  Awesome #Fail,1
i do occupy rent free space in his cranial cavity LOL @user,0
Had to take a #PatioPics - snow falling still. This was totally clear when I went to sleep. #WCCO,0
August has the most birthdays, February has the least and most of the serial killers are born in November!||-so dont mess up with me|#nov26,0
Lol RT @user Wouldn't surprise me if Soldado bangs in a hatrick and we win 0-3 against Chelsea tonight .. The legend is back,0
Pulis turned down #NUFC cos he wants to spend a load of money on 30 year old journeymen. Parish wouldn't let him & neither would MA. #cpfc,0
Sending best wishes to all my coworkers at the 9AM this morning,1
@user try having no internet for a month. Now I know how Ethiopians feel.,1
Thanks @user for connecting. Always look forward to exchange thoughts n ideas with #entrepreneur working on #green n #sustainability,0
Seems as if @user wants to endorse me on LinkedIn for  - any thoughts on this from the #OMCchat crowd?,0
Love being made fun of,1
Parking meter obviously forgot to get its own parking ticket.,1
Heaven help the fool who did her wrong,0
Just bartered for a bottle of rum in best one, and got it down from Â£18 to Â£14. Happy Fucking New Year to me!!,0
Well it's always a good time losing at the Bay... @user @user @user,1
I love when folks call Brady a system QB but are THE BIGGEST Peyton Manning fans. .,1
"@user Instead of playing the pompous ""do you know who I am card?"" , how about you actually make an educated rebuttal?,0"
Kind of love how I got a voicemail from my seat neighbor wondering where I was yet they constantly sell their ticket & I never ask,1
I feel a nap in my near future. #NapTime,0
The ever so caring @user gets to see the siege ending first. Great journalism.,1
hmmm. I do wonder why Astec has one fewer employee? #lol,1
On my lunch break so sleepyðŸ˜´,0
@user so funny lolololol,1
@user @user More clean OR cleaner, never more cleaner,0
Amen, that's due to them  having respect for themselves.,0
Double standards are always a fun thing,1
Oversleeping is the bestttt.,1
I need a misadventure form because I broke my hand practising and rewriting this english essay 500 times,1
@user #NoodleScene anyone? He was so zen there. . Oh! wait! But #deadHenry and #bouncebackAnnie. Silly me! All makes sense now!,1
I love that when a female expresses herself in an emphatic manner, it's always attributed to her menstrual cycle. -Mags  #PMS,1
Travel and tourism this morning.My favourite lesson whoooo,1
These girls can wake up people from the dead!  #worth #watching,0
Aaaaaaaaand we're back in the ER. Hooray for no sleep!,1
To all u #deadbeatdads ur not worth a hair on our #kids heads.. Tough being a #singlemom but at least my #beautiful #daughter is loved by Me,0
@user Ooooh only the 'economic' destruction of the country. Now that makes a world of a difference.,1
saturday class wee,1
Just a had a Bruce Springsteen flashback. *shudder* @user @user @user @user @user,0
Is Obamacare Slowing Health Care Spending?  via @user,0
@user Ha! I don't have haters. Just a few misguided souls who thought my mentions were a bulletin board for their issues. 
I love cold winter days cause I never know when my car decides not to start ðŸ˜‘,1
This clinical psychology exam is gunna be the main cause of whatever mental disorder I develop,1
What a great person you are.,1
It's gonna be a great day ðŸ˜ƒ,1
I have a VERY limited number of press seats available for a Meet Me There screening in Austin on January 21. Hit me up, press types.,0
@user T-Mobile's CEO thinks the Apple Watch is going to be huge <-- I do, too.,0
Now gonna enjoy this day with my babies!!âœŒï¸,0
@user Oh no, I've tipped Gamergates hand. Now you know our end game!,1
Cluck! RT @user Most transparent administration ever sends password-protected documents to Oversight.  #Gruber,1
@user @user Ya cause their country is calm and peaceful from Everyone arming themselves,1
.@user is at her best when she reports frm 'on the field'. Not that she is bad at studio but on field she is a true story teller.,0
Good morning hank its saturday im starving,0
.@user @user Woot woot! Whiteboard Friday's are my favorite Friday activity!,0
Love coming to school knowing I have tests all day,1
Have successfully avoided everything from season 4 - which I've not seen and there's an S5 one, in my timeline.  Thanks Indy!,1
Gawd! I love 9am lectures and 4-6pm lectures.,1
Why is it so hard for people to cover their mouth when they cough?? Specially old people! Wtf, isn't it common curtesy? #coveryomouf #nasty,0
My stomach is a Wonderland for gas inducing bacteria. #blessed,1
.@user Isn't it great how all those ppl have done a public mea culpa since that didn't happen?,1
@user People who commit crimes, resist cops, or attack cops are endangering their own lives. No respect for law or other people.,0
Younger siblings are okay. But then they do this irritating thing where they wake you at 5:15 to open presents. And that's just awesome,1
@user apricots pears and boozy Belgian goodness. A winter warmer.,0
"Song of the Day: ""The Lights and Buzz"" - Jack's Mannequin.,0"
Love it when your typing at work and a spider comes out from the keyboard and hangs out between your fingers...  ðŸ™ˆ,1
@user I think I'm gonna check your music out later. Thanksâ˜º,0
@user looking forward to the time I have to traipse down the stairs to postie with a baby attached to my nipple! ðŸ˜³,1
Currently writing about how I plan to stop procrastinating after leaving the paper untouched all day,1
May be cold tomorrow, December 28, 2014! A low of -7â„ƒ - dress warm!,0
The last Twolves game I was jacked for was right after the lockout in 2011 vs. OKC (Rubio's 1st game)... I wonder if I when I will again?,0
The ugly truth... #abuse  #enough #words,0
Just ordered 10 new pairs of underwear from Victoria Secret ðŸ˜ #yay,0
@user A lot of ingredients. More specifically.... Like a lot a lot,0
amazing how they are the one doing the ignoring, and think they are set free @user @user @user,0
